0,	2.1040000e+03, 3.0000000e+00
1,	1.6000000e+03, 3.0000000e+00
2,	2.4000000e+03, 3.0000000e+00
3,	1.4160000e+03, 2.0000000e+00
4,	3.0000000e+03, 4.0000000e+00
5,	1.9850000e+03, 4.0000000e+00
6,	1.5340000e+03, 3.0000000e+00
7,	1.4270000e+03, 3.0000000e+00
8,	1.3800000e+03, 3.0000000e+00
9,	1.4940000e+03, 3.0000000e+00
10,	1.9400000e+03, 4.0000000e+00
11,	2.0000000e+03, 3.0000000e+00
12,	1.8900000e+03, 3.0000000e+00
13,	4.4780000e+03, 5.0000000e+00
14,	1.2680000e+03, 3.0000000e+00
15,	2.3000000e+03, 4.0000000e+00
16,	1.3200000e+03, 2.0000000e+00
17,	1.2360000e+03, 3.0000000e+00
18,	2.6090000e+03, 4.0000000e+00
19,	3.0310000e+03, 4.0000000e+00
20,	1.7670000e+03, 3.0000000e+00
21,	1.8880000e+03, 2.0000000e+00
22,	1.6040000e+03, 3.0000000e+00
23,	1.9620000e+03, 4.0000000e+00
24,	3.8900000e+03, 3.0000000e+00
25,	1.1000000e+03, 3.0000000e+00
26,	1.4580000e+03, 3.0000000e+00
27,	2.5260000e+03, 3.0000000e+00
28,	2.2000000e+03, 3.0000000e+00
29,	2.6370000e+03, 3.0000000e+00
30,	1.8390000e+03, 2.0000000e+00
31,	1.0000000e+03, 1.0000000e+00
32,	2.0400000e+03, 4.0000000e+00
33,	3.1370000e+03, 3.0000000e+00
34,	1.8110000e+03, 4.0000000e+00
35,	1.4370000e+03, 3.0000000e+00
36,	1.2390000e+03, 3.0000000e+00
37,	2.1320000e+03, 4.0000000e+00
38,	4.2150000e+03, 4.0000000e+00
39,	2.1620000e+03, 4.0000000e+00
40,	1.6640000e+03, 2.0000000e+00
41,	2.2380000e+03, 3.0000000e+00
42,	2.5670000e+03, 4.0000000e+00
43,	1.2000000e+03, 3.0000000e+00
44,	8.5200000e+02, 2.0000000e+00
45,	1.8520000e+03, 4.0000000e+00
46,	1.2030000e+03, 3.0000000e+00
