0  ,  3.9990000e+05
1  ,  3.2990000e+05
2  ,  3.6900000e+05
3  ,  2.3200000e+05
4  ,  5.3990000e+05
5  ,  2.9990000e+05
6  ,  3.1490000e+05
7  ,  1.9899900e+05
8  ,  2.1200000e+05
9  ,  2.4250000e+05
10 ,  2.3999900e+05
11 ,  3.4700000e+05
12 ,  3.2999900e+05
13 ,  6.9990000e+05
14 ,  2.5990000e+05
15 ,  4.4990000e+05
16 ,  2.9990000e+05
17 ,  1.9990000e+05
18 ,  4.9999800e+05
19 ,  5.9900000e+05
20 ,  2.5290000e+05
21 ,  2.5500000e+05
22 ,  2.4290000e+05
23 ,  2.5990000e+05
24 ,  5.7390000e+05
25 ,  2.4990000e+05
26 ,  4.6450000e+05
27 ,  4.6900000e+05
28 ,  4.7500000e+05
29 ,  2.9990000e+05
30 ,  3.4990000e+05
31 ,  1.6990000e+05
32 ,  3.1490000e+05
33 ,  5.7990000e+05
34 ,  2.8590000e+05
35 ,  2.4990000e+05
36 ,  2.2990000e+05
37 ,  3.4500000e+05
38 ,  5.4900000e+05
39 ,  2.8700000e+05
40 ,  3.6850000e+05
41 ,  3.2990000e+05
42 ,  3.1400000e+05
43 ,  2.9900000e+05
44 ,  1.7990000e+05
45 ,  2.9990000e+05
46 ,  2.3950000e+05
